"African Online Championships, Feb. 2021.  Sections grouped into one.",,,,,,,,,** Uses all turns from 12 to 60 in all games **,,,,,,,,UW = unit weights,,,,,,,,,
Stockfish 7 with unit weights,,,,,,,,,Shortcut for Rapid over eliminating book by 2300+,,,,,,,,EWN = weighted by expectation loss,,,,,,,,,
"Ratings are FIDE Standard via lookup where possible. Sub 175 for G35 Rapid, add 150 for pandemic lag, add 25 for uncertainty = same rating",,,,,,,,,,,,,,,,,,,,,,,,,,
IPR12 = Intrinsic Performance Rating starting at turn 12.,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Move-Match, Equal-Optimal Value, and Average Scaled Difference (MMZ,EVZ,ASDZ) are combined into the official CombZ score by a rule that is now slightly rating-dependent.",,,,,,,,,,,,,,,,,,,,,,,,,,
"ELWZ is like ASDZ but in units of ""expectation loss"" rather than centipawn value.  It is not calibrated and not included in CombZ but is related to an alternative weighting scheme ""EWN"" directed against ""smart cheating.""",,,,,,,,,,,,,,,,,,,,,,,,,,
PredZ is a new provisional test for (un)predictability that is intended to be less dependent on a particular engine.,,,,,,,,,,,,,,,,,,,,,,,,,,
The T2 and T3 tests are not calibrated and are positively biased by 0.30--0.50 on average.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Not calibrated---ignore,,,,,,,
Name,Rating,Rating Used,IPR12,CombZ,PredZ,#turns,wtfactor,IPR diff,2sigma,ChallFaced,s,c,MMZ,EVZ,ASDZ,ELWZ,Engine,Weights,T2Z,T3Z,T3thr50Z,sOfIPR,cOfIPR,CombZ+,Pred+,
BouzidiAhmed             ,2163,2163,2339,1.26,0.29,247,1,201,286,1989.4,0.021642,0.334521,0.94,1.65,0.90,0.79,    SF7,   UW,-0.26,0.06,0.45,0.0295446501981689,0.364962410075836,1.26,0.29,0
BrahamiLamine            ,2194,2194,1889,-1.25,-0.84,227,1,-280,339,2137.2,0.035509,0.325561,-0.84,-0.81,-1.80,-1.36,    SF7,   UW,0.13,-0.78,-0.57,0.0427879772655835,0.343368518262595,0.00,0.00,0
CalicocaWiltonInacio     ,2122,2122,1870,-1.18,-1.42,187,1,-227,387,2067.5,0.048286,0.353877,-0.86,-1.25,-1.14,-0.33,    SF7,   UW,-1.55,-1.83,-1.81,0.0433598899182121,0.342456776163814,0.00,0.00,0
CambandoJose             ,2128,2128,1788,-2.22,-2.83,244,1,-315,270,2049.2,0.105928,0.457909,-2.13,-2.00,-2.01,-2.23,    SF7,   UW,-2.85,-2.01,-2.39,0.0458399944985842,0.338521889211178,0.00,0.00,0
CastroNeusaAridasDe      ,1512,1512,1478,-0.68,-1.06,284,1,-9,283,1321.5,0.079565,0.362961,-0.63,-1.02,-0.21,0.26,    SF7,   UW,-1.56,-1.07,-1.24,0.0553898717368439,0.323646097073168,0.00,0.00,0
CaxitaEsperanca          ,1882,1882,1824,0.41,0.79,203,1,-33,358,1729.9,0.022068,0.283221,0.51,0.80,-0.18,-0.26,    SF7,   UW,0.55,2.07,1.32,0.0447487986749114,0.340249400556238,0.41,0.79,0
CelsoAndreManjate        ,1721,1721,1813,0.32,0.49,267,1,117,314,1693.8,0.045759,0.341268,0.27,0.17,0.44,0.61,    SF7,   UW,0.45,0.87,-0.13,0.0450818261480887,0.33972154986747,0.32,0.49,0
CharindaKudzanayi        ,1710,1710,1895,0.20,0.25,245,1,210,311,1596.5,0.05795,0.378826,0.20,-0.40,0.75,1.04,    SF7,   UW,0.03,0.59,0.54,0.0426075878916229,0.343656436820105,0.20,0.25,0
DePinaFernandesLuis      ,1598,1598,1214,-0.61,-0.54,179,1,-359,435,1712.5,0.02952,0.256333,-0.16,-0.22,-1.30,-1.21,    SF7,   UW,0.19,-0.66,-0.58,0.063739489748746,0.310977680542733,0.00,0.00,0
DeVilliersCharles        ,2110,2110,1977,-0.83,-0.80,181,1,-108,310,1776.3,0.062116,0.400849,-0.74,-0.92,-0.64,-0.70,    SF7,   UW,-0.94,-1.24,-1.35,0.0401525911775699,0.34759132377274,0.00,0.00,0
